MentionID,TranscriptID,NewsProgram,ChannelType,TimePeriod,CaseID,IssueArea,CaseStage,WordCountRAND,MultiMention,MultiMentionType,MentionContext,AnchorOnly,Correspondent,Debate,NewsInterview
1990081AABC032591,ABC032591,WorldNewsTonight,NetworkNews,1990_1999,1990081,EconomicActivity,Argument,447,0,NA,1,0,1,0,0
1990081DABC052391,ABC052391,WorldNewsTonight,NetworkNews,1990_1999,1990081,EconomicActivity,Decision,46,0,NA,1,1,0,0,0
1990117DABC062191,ABC062191,WorldNewsTonight,NetworkNews,1990_1999,1990117,FirstAmendment,Decision,235,0,NA,1,0,1,0,0
1990120DABC062491,ABC062491,WorldNewsTonight,NetworkNews,1990_1999,1990120,FirstAmendment,Decision,281,0,NA,1,0,1,0,0
1991011DABC121091,ABC121091,WorldNewsTonight,NetworkNews,1990_1999,1991011,FirstAmendment,Decision,66,0,NA,1,1,0,0,0
1991035DABC022692,ABC022692,WorldNewsTonight,NetworkNews,1990_1999,1991035,SexDiscrimination,Decision,271,0,NA,1,0,1,0,0
1991041DABC030992,ABC030992,WorldNewsTonight,NetworkNews,1990_1999,1991041,FirstAmendment,Decision,311,0,NA,1,0,1,0,0
1991077DABC052692,ABC052692,WorldNewsTonight,NetworkNews,1990_1999,1991077,EconomicActivity,Decision,408,0,NA,1,0,1,0,0
2006031PDFox042507,Fox042507,SpecialReport,CableNews,2000_2018,2006031,Abortion,PostDecision,17,1,Secondary,2,0,1,0,0
2000082PDFox062901,Fox062901,SpecialReport,CableNews,2000_2018,2000082,FirstAmendment,PostDecision,18,1,Separate,2,0,1,0,0
1991078DABC060192,ABC060192,WorldNewsTonight,NetworkNews,1990_1999,1991078,EconomicActivity,Decision,489,1,Identical,1,0,1,0,0
1991079DABC060192,ABC060192,WorldNewsTonight,NetworkNews,1990_1999,1991079,EconomicActivity,Decision,489,1,Identical,1,0,1,0,0
