TranscriptID,NewsProgram,NexisUni,Factiva,TranscriptDate,TitleOriginal,CaseIDA,CaseStageA,CaseIDB,CaseStageB,CaseIDC,CaseStageC,CaseIDD,CaseStageD
ABC052797,WorldNewsTonight,1,1,1997-05-27,Supreme Court Rules Paula Jones Suit May Proceed,1996059,Decision,none,none,none,none,none,none
ABC060997,WorldNewsTonight,1,1,1997-06-09,New Candidate For Joint Chiefs Chairman Needed,1997037,Cert,none,none,none,none,none,none
ABC062397,WorldNewsTonight,1,1,1997-06-23,Supreme Court And Separation Of Church And State,1996080,Decision,none,none,none,none,none,none
ABC062597,WorldNewsTonight,1,1,1997-06-25,Supreme Court Decision Limits Religious Freedom,1996087,Decision,none,none,none,none,none,none
ABC062597,WorldNewsTonight,1,1,1997-06-25,U.s./russian Space Partnership In Question,none,none,none,none,none,none,none,none
ABC062697,WorldNewsTonight,1,1,1997-06-26,Court Says Doctor-assisted Suicide Not A Right,1996094,Decision,none,none,none,none,none,none
ABC062697,WorldNewsTonight,1,1,1997-06-26,Communications Decency Act Found Unconstitutional,none,none,none,none,none,none,none,none
ABC062797,WorldNewsTonight,1,1,1997-06-27,Supreme Court Strikes Down Provision Of Brady Law,1996094,PostDecision,1996087,PostDecision,none,none,none,none
ABC120397,WorldNewsTonight,1,1,1997-12-03,Supreme Court Considers Same Sex Harassment,1997037,Argument,none,none,none,none,none,none
ABC022598,WorldNewsTonight,1,1,1998-02-25,NEWS OF THE DAY,1997030,Decision,none,none,none,none,none,none
ABC022798,WorldNewsTonight,1,1,1998-02-27,What Is/is Not Sexual Harassment On The Job?,1997037,PostArgument,1997089,PostCert,1997101,PostCert,1997102,PostCert
ABC030498,WorldNewsTonight,1,1,1998-03-04,Supreme Court Rules On Same-sex Harassment,1997037,Decision,none,none,none,none,none,none
ABC042298,WorldNewsTonight,1,1,1998-04-22,Supreme Court Hears Case On Sexual Harassment,1997101,Argument,none,none,none,none,none,none
ABC062298,WorldNewsTonight,1,1,1998-06-22,Scotus Ruling On Sexual Harassment In Schools,1997089,Decision,none,none,none,none,none,none
ABC062598,WorldNewsTonight,1,1,1998-06-25,Supreme Court On Art And Public Opinion,1997097,Decision,none,none,none,none,none,none
