CaseID,DateCert,DateArgument,DateDecision,TimePeriod,CaseName,CaseSummary,IssueArea
1990058,1990-10-01,1991-01-09,1991-04-16,1990_1999,"Leathers, Commissioner Of Revenues Of Arkansas V. Medlock Et Al.",State sales tax which excluded certain segments of media did not violate First Amendment because the tax was not directed at and did not present the danger of suppressing particular ideas.,FirstAmendment
1990071,1990-12-03,1991-03-27,1991-05-20,1990_1999,"Jill S. Kamen V. Kemper Financial Services, Inc., Et Al.","Because the futility of demand in a derivative suit brought on behalf of an investment company against its investment adviser was a substantive issue governed by state law, no rule of ""universal demand"" could be adopted as federal common law.",EconomicActivity
1990078,1990-10-15,1991-02-19,1991-05-23,1990_1999,Frederick A. Siegert V. H. Melvin Gilley,"Because federal employee's defamation complaint did not state claim for violation of any rights secured to him under U.S. Constitution, dismissal of action was affirmed, and it was not necessary to reach issue of his supervisor's qualified immunity.",EconomicActivity
1990081,1990-11-26,1991-03-25,1991-05-23,1990_1999,"Jeanne Farrey, Fka Jeanne Sanderfoot V. Gerald J. Sanderfoot",A state homestead exemption in bankruptcy could not be used to avoid a lien created by a divorce decree on the marital home because the parties' interests in the marital home attached at the same time as the lien against the property.,EconomicActivity
1990098,1991-01-22,1991-04-16,1991-06-10,1990_1999,Curtis Reed Johnson V. Home State Bank,"Debtor, whose personal liability to mortgagee was discharged in Chapter 7 bankruptcy, was allowed to include in rem judgment that mortgagee obtained against debtor's property as a claim in a Chapter 13 plan as creditor's claim survived the discharge.",EconomicActivity
1990103,1991-01-18,1991-04-22,1991-06-13,1990_1999,Sheldon Baruch Toibb V. Stuart J. Radloff,An individual not engaged in a business was eligible for Chapter 11 bankruptcy because the plain language of the Bankruptcy Code allows individuals and businesses to reorganize under Chapter 11.,EconomicActivity
1990110,1990-10-09,1991-02-19,1991-06-20,1990_1999,"Lampf, Pleva, Lipkind, Prupis & Petigrow V. John Gilbertson, Et Al.","Federal law was appropriate to use in determining the statute of limitations for federal securities violation claims, and since the applicable federal regulations did not allow for equitable tolling of the claims, they were time barred.",EconomicActivity
1990117,1990-10-01,1991-01-08,1991-06-21,1990_1999,"Michael Barnes, Prosecuting Attorney Of St. Joseph County, Indiana, Et Al. V. Glen Theatre, Inc., Et Al.","Judgment that nude dancing was expression protected by First Amendment reversed, since public nudity was sufficiently important government interest to justify regulating non-speech element of the expressive conduct.",FirstAmendment
1990120,1990-12-10,1991-03-27,1991-06-24,1990_1999,"Cohen V. Cowles Media Co., Dba Minneapolis Star & Tribune Co., Et Al.","Informer was entitled to compensatory damages after publisher breached its confidentiality agreement, because publisher was liable based on promissory estoppel. First Amendment gave publisher no special immunity from application of general laws.",FirstAmendment
1991008,,1991-10-15,1991-12-04,1990_1999,"Southwest Marine, Inc. V. Byron Gizoni","The Longshore and Harbor Workers' Compensation Act (Act) did not provide the exclusive remedy for all harbor workers, and workers receiving voluntary payment under the Act without a formal award were not barred from pursuing Jones Act relief.",EconomicActivity
1991011,,1991-10-15,1991-12-10,1990_1999,"Simon & Schuster, Inc. V. Members Of The New York State Crime Victims Board, Et Al.",Petitioner's challenge to the constitutionality of an amendment to New York's Son of Sam law was successful because the Court concluded that the law imposed a financial disincentive to create or publish works with a particular content.,FirstAmendment
